term	estimate	std.error	statistic	p.value	conf.low	conf.high	variable	lvl	index	dataset	test_var	ref_level	outcome_subset
symtomduration_luftplager_catYes	38.143599246435784	107.09952712016889	0.35615095857181067	0.7218576993275512	-172.20885383937372	248.4960523322453	symtomduration_luftplager_cat	Yes	observed	ko_hum	symtomduration_luftplager_cat	No	positive
symtomduration_luftplager_catYes	0.02505774593281141	0.03699586092019946	0.6773121454549007	0.4984793943642888	-0.047605227544686414	0.09772071941030924	symtomduration_luftplager_cat	Yes	shannon	ko_hum	symtomduration_luftplager_cat	No	positive
symtomduration_luftplager_catYes	-0.42287012834860277	2.762566082013221	-0.15307149794600966	0.8783954070333047	-5.848781593962349	5.003041337265144	symtomduration_luftplager_cat	Yes	invsimpson	mags	symtomduration_luftplager_cat	No	positive
symtomduration_luftplager_catYes	2.6953084934115443	9.883702642952695	0.2727023050752504	0.785179628386279	-16.717112386682814	22.107729373505904	symtomduration_luftplager_cat	Yes	observed	mags	symtomduration_luftplager_cat	No	positive
symtomduration_luftplager_catYes	-0.009325341519230538	0.07778191967877038	-0.1198908635547057	0.9046113343582478	-0.16209555489089675	0.14344487185243568	symtomduration_luftplager_cat	Yes	shannon	mags	symtomduration_luftplager_cat	No	positive
symtomduration_luftplager_catYes	-0.2677770284841199	2.642151265918051	-0.10134810672585666	0.9193093364006965	-5.457183696788395	4.921629639820155	symtomduration_luftplager_cat	Yes	invsimpson	metaphlan	symtomduration_luftplager_cat	No	positive
symtomduration_luftplager_catYes	-0.5038561185898602	12.802696353388225	-0.039355468932645195	0.9686205959290353	-25.649425445205523	24.641713208025806	symtomduration_luftplager_cat	Yes	observed	metaphlan	symtomduration_luftplager_cat	No	positive
symtomduration_luftplager_catYes	0.011266111785663021	0.07792075526082445	0.14458422211068053	0.8850896417567877	-0.1417767863124997	0.16430900988382577	symtomduration_luftplager_cat	Yes	shannon	metaphlan	symtomduration_luftplager_cat	No	positive
symtomduration_obstipasjon_catYes	41.10700005833054	19.367904481095014	2.122428892524487	0.03404053730505375	3.10181494764754	79.11218516901354	symtomduration_obstipasjon_cat	Yes	invsimpson	ko_hum	symtomduration_obstipasjon_cat	No	all
symtomduration_obstipasjon_catYes	108.0857501439137	66.3345410369954	1.6294037533723682	0.10353423553114117	-22.080965300393032	238.25246558822045	symtomduration_obstipasjon_cat	Yes	observed	ko_hum	symtomduration_obstipasjon_cat	No	all
symtomduration_obstipasjon_catYes	0.053839083376678865	0.02309898480821599	2.330798683305296	0.019956814583481343	0.008512486771351642	0.0991656799820061	symtomduration_obstipasjon_cat	Yes	shannon	ko_hum	symtomduration_obstipasjon_cat	No	all
