primary_model	add_var	no_m	secondary_alg	predictor	sensitivities	specificities	thresholds	var_cat
rf_mphl	fit	FALSE	log_reg	primary_pred	0.1896551724137931	0.8333333333333334	0.6159492063492066	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.1896551724137931	0.8444444444444444	0.6182992063492065	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.1810344827586207	0.8444444444444444	0.6195267857142857	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.1810344827586207	0.8555555555555555	0.6208321428571428	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.1810344827586207	0.8666666666666667	0.6238093253968253	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.1810344827586207	0.8777777777777778	0.6268926587301588	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.1810344827586207	0.8888888888888888	0.6280698412698413	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.1724137931034483	0.8888888888888888	0.6286365079365079	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.1724137931034483	0.9	0.629440079365079	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.1724137931034483	0.9111111111111111	0.6301966269841268	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.16379310344827586	0.9111111111111111	0.6307920634920634	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.15517241379310345	0.9111111111111111	0.6323494047619047	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.14655172413793102	0.9111111111111111	0.6340716269841269	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.14655172413793102	0.9222222222222223	0.6347378968253967	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.13793103448275862	0.9222222222222223	0.6352283730158731	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.13793103448275862	0.9333333333333333	0.6359182539682542	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.13793103448275862	0.9444444444444444	0.6375103174603174	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.12931034482758622	0.9444444444444444	0.6391632936507934	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.1206896551724138	0.9444444444444444	0.6418642857142857	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.11206896551724138	0.9444444444444444	0.6446055555555553	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.10344827586206896	0.9444444444444444	0.6451525793650792	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.10344827586206896	0.9555555555555556	0.6477184523809525	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.09482758620689655	0.9555555555555556	0.6507182539682541	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.09482758620689655	0.9666666666666667	0.6514857142857143	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.08620689655172414	0.9666666666666667	0.6553109126984128	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.07758620689655173	0.9666666666666667	0.6614908730158728	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.06896551724137931	0.9666666666666667	0.664416071428571	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.06896551724137931	0.9777777777777777	0.6675734126984126	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.0603448275862069	0.9777777777777777	0.6724000000000001	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.05172413793103448	0.9777777777777777	0.6758718253968254	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.04310344827586207	0.9777777777777777	0.6773039682539681	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.04310344827586207	0.9888888888888889	0.6773470238095238	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.034482758620689655	0.9888888888888889	0.6842039682539683	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.02586206896551724	0.9888888888888889	0.6910563492063491	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.02586206896551724	1	0.6944521825396823	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.017241379310344827	1	0.7085228174603173	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.008620689655172414	1	0.7223029761904761	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0	1	Inf	roc
