Model	Resid. df	Resid. Dev	Test	   Df	LR stat.	Pr(Chi)	var_id	model_complexity
senter + age_invitation + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2757	2249.0075330371615		NA	NA	NA	kjonn	standard_model
value + senter + age_invitation + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.638340581628	1 vs 2	3	15.369192455533266	0.0015268452697320134	kjonn	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	runde	host_assoc_model
value + senter + age_invitation + kjonn	3084	2525.6934192029785	1 vs 2	6	6.002044565178949	0.4229610861149107	runde	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	runde	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2228.8887975919747	1 vs 2	6	4.7495429896516725	0.5763137725147114	runde	standard_model
age_invitation + kjonn	3093	2543.916337274746		NA	NA	NA	senter	host_assoc_model
value + age_invitation + kjonn	3090	2531.6954637681574	1 vs 2	3	12.22087350658876	0.0066635982140111905	senter	host_assoc_model
age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2757	2237.6117064196715		NA	NA	NA	senter	standard_model
value + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264	1 vs 2	3	3.9733658380450834	0.26435453794949415	senter	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	symptoms_GI_related_cat	host_assoc_model
value + senter + age_invitation + kjonn	3084	2528.8764939096186	1 vs 2	6	2.8189698585388214	0.8312009323836005	symptoms_GI_related_cat	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	symptoms_GI_related_cat	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2231.8566975343265	1 vs 2	6	1.7816430472998945	0.9386459023647861	symptoms_GI_related_cat	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	symptoms_overall_cat	host_assoc_model
value + senter + age_invitation + kjonn	3084	2527.8283836076016	1 vs 2	6	3.8670801605558154	0.6946584290850732	symptoms_overall_cat	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	symptoms_overall_cat	standard_model
